ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,Sq Ft,PERMIT#,APPL. TYPE,ISSUED DATE
68,SWEETBAY CIR ,,Ward 6,4m-1532,30,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Primrose II 2015 C,1,311698,1864,1601874,Construction,2016-04-15 8:55
32,SWEETBAY CIR ,,Ward 6,,12,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Fernhaven 2011 A,1,256701,1727,1601875,Construction,2016-04-15 9:02
85,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
87,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
89,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
91,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
101,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
103,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
105,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
107,BUFFALOGRASS CRES ,K2J6H5,Ward 3,,,MATTAMY DEVELOPMENT CORPORATION,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Thornbury 2015 B,Appleby 2015 B2,Appleby 2015 B2,Appleby 2015 B1,Appleby 2015 B1,Mulberry Corner 2015 B,Mulberry Corner 2015 B,Thornbury 2015 B",8,1175962,10088,1601876,Construction,2016-04-15 9:03
301,NICHOLAS ST ,,Ward 12,53478,19-31,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Construct a 1 storey rapid transit station (Confederation Line - uOttawa OLRT Station),0,4955930,23265,1601877,Construction,2016-04-15 9:10
48,SWEETBAY CIR ,,Ward 6,,20,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Walnut 2015 B,1,538113,3218,1601878,Construction,2016-04-15 9:13
50,SWEETBAY CIR ,,Ward 6,4m-1532,21,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Westlynn 2015 A,1,475908,2846,1601879,Construction,2016-04-15 9:17
56,SWEETBAY CIR ,,Ward 6,4m-1532,24,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Parkside 2015 B,1,446310,2669,1601880,Construction,2016-04-15 9:23
240,CATHERINE ST ,K2P2G8,Ward 14,30,13 & 14,DEANGELUS CONTRACTING LTD.,Office,Old Ottawa,Interior alterations on the 4th floor of a 4 storey office building (Gumdocs),0,175000,1400,1601881,Construction,2016-04-15 9:25
36,"ASTROLABE, PLACE DE L'  ",,Ward 19,4M-1562,9B,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: 4397 2015 A,1,234702,1579,1601882,Construction,2016-04-15 9:27
58,SWEETBAY CIR ,K2S0W8,Ward 6,4m-1532,25,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Lily 2015 A,1,339122,2028,1601883,Construction,2016-04-15 9:28
32,"ASTROLABE, PLACE DE L'  ",,Ward 19,4M - 1562,7B,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: 3024 2015 B Ext. Garage,1,290145,1952,1601884,Construction,2016-04-15 9:31
157,HELEN RAPP WAY ,K1T0P4,Ward 22,,12R,TAMARACK DEVELOPMENTS CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: 5040 2015 A,1,525906,3145,1601885,Construction,2016-04-15 9:35
60,SWEETBAY CIR ,,Ward 6,4m-1532,26,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Fernhaven 2011 A,1,256701,1727,1601886,Construction,2016-04-15 9:37
62,SWEETBAY CIR ,,Ward 6,4m-1532,27,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Snowberry 2014 A,1,283456,1907,1601887,Construction,2016-04-15 9:49
563,EGRET WAY ,K2J0E3,Ward 3,4M-1471,52B,TAMARACK DEVELOPMENTS CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 3620 2015 B,1,350790,2360,1601888,Construction,2016-04-15 9:54
350,VIEWMOUNT DR ,K2E7T5,Ward 9,4M344,,OTTAWA GENERAL CONTRACTING,Office,Nepean,"Interior alterations to repair a 1 storey dental office due to fire damage (Unit 6, Viewmount Dental Centre)",0,20000,0,1601889,Construction,2016-04-15 10:03
61,SWEETBAY CIR ,,Ward 6,4m-1532,32,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Marigold 2015 B,1,285946,1710,1601890,Construction,2016-04-15 10:07
57,SWEETBAY CIR ,,Ward 6,4m-1532,34,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Westlynn 2015 A,1,475908,2846,1601891,Construction,2016-04-15 10:09
66,SWEETBAY CIR ,K2S0W8,Ward 6,4m-1532,29,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Parkside 2015 C,1,447647,2677,1601892,Construction,2016-04-15 10:11
70,SWEETBAY CIR ,,Ward 6,4m-1532,31,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: Marigold 2015 A,1,286113,1711,1601893,Construction,2016-04-15 10:13
3302,WOODROFFE AVE ,,Ward 22,4M-,14,CONTRACTOR UNKNOWN,Retail,Nepean,Interior alterations in a 1 storey retail building (Starbuck's),0,200000,1312,1601894,Construction,2016-04-15 10:56
138,BROADWAY AVE ,K1S2V8,Ward 17,108654,173,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior/Exterior alterations to a 2 storey detached dwelling (Foundation underpinning and interior alterations in basement),0,50000,59.7,1601895,Construction,2016-04-15 11:17
75,ST. CLAIRE AVE ,K2G2A5,Ward 8,375,1699,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 1 storey detached dwelling and accessory structure,-1,5000,-900,1601896,Demolition,2016-04-15 11:27
75,ST. CLAIRE AVE ,K2G2A5,Ward 8,375,1699,LEGACY HOMES,Single,Nepean,Construct a 2 storey detached dwelling,1,398355.2,2680,1601897,Construction,2016-04-15 11:32
43,"ASTROLABE, PLACE DE L'  ",K4A0Y6,Ward 19,4M-,,TAMARACK DEVELOPMENTS CORPORATION,Single,Cumberland,Construct a 2 storey detached dwelling,1,394639.2,2360,1601898,Construction,2016-04-15 11:39
55,METCALFE ST ,K1P6L5,Ward 14,3922,22-25,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations on the 6th floor of a 17 storey office building (Manulife GBRS, Suite 650)",0,180000,2350,1601899,Construction,2016-04-15 12:09
1107,CARP RD ,K2S1B9,Ward 6,,23,"DUNWOODIE, RYAN",Single,Goulbourn,Interior alterations to alter the roof in a 1 storey detached dwelling,0,8000,897,1601900,Construction,2016-04-15 12:11
99,METCALFE ST ,K1P6L7,Ward 14,3922,52,C. GIAMBERARDINO CONTRACTING INC.,Office,Old Ottawa,Tenant fit-up on the 9th floor of a 12 storey office building (CFJA (Commissioner for Federal Judicial Affairs),0,40000,400,1601901,Construction,2016-04-15 12:14
1107,CARP RD ,K2S1B9,Ward 6,4M-,23,CONTRACTOR UNKNOWN,Institutional,Goulbourn,Interior alterations in a 1 storey detached dwelling to convert to a daycare,0,58500,1170,1601902,Construction,2016-04-15 12:13
43,WILLIAM ST ,K1N6Z9,Ward 12,42482,11,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up on both floors of a 2 storey retail building (Sash Gelato Cafe),0,60000,2152.78,1601903,Construction,2016-04-15 12:45
557,FIELDING DR ,K1V7G7,Ward 16,776,514,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Construct a gazebo (rear yard),0,4000,409.67,1601904,Construction,2016-04-15 12:53
5,FAIRHAVEN WAY ,K1K0R2,Ward 13,537,4,***CONTRACTOR***,Single,Old Ottawa,Construct a 2nd storey addition and interior alterations in a 1 storey detached dwelling,0,325830,1500,1601905,Construction,2016-04-15 12:57
594,MCLEOD ST ,K1R5R3,Ward 14,30,44,SIMPLEX BUILDING SYSTEMS,Rowhouse,Old Ottawa,Construct a 3 storey block of 3 rowhouse dwellings (prefabricated),3,80000,4000,1601906,Construction,2016-04-15 13:14
596,MCLEOD ST ,K1R5R3,Ward 14,30,44,SIMPLEX BUILDING SYSTEMS,Rowhouse,Old Ottawa,Construct a 3 storey block of 3 rowhouse dwellings (prefabricated),3,80000,4000,1601906,Construction,2016-04-15 13:14
598,MCLEOD ST ,K1R5R3,Ward 14,30,44,SIMPLEX BUILDING SYSTEMS,Rowhouse,Old Ottawa,Construct a 3 storey block of 3 rowhouse dwellings (prefabricated),3,80000,4000,1601906,Construction,2016-04-15 13:14
431,SANDERLING CRES ,K1E2V5,Ward 1,50M-85,3,"BETTLES, BARRY",Single,Cumberland,Remove load bearing wall on the 1st floor of a 2 storey detached dwelling,0,1000,0,1601907,Construction,2016-04-15 13:42
307,ATLANTIS AVE ,K2A1X7,Ward 15,M-28,242,***CONTRACTOR***,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,8000,-1200,1601908,Demolition,2016-04-15 13:49
307,ATLANTIS AVE ,K2A1X7,Ward 15,4M-28,242,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,710090.44,4290,1601909,Construction,2016-04-15 13:50
309,ATLANTIS AVE ,K2A1X7,Ward 15,4M-28,242,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey semi-detached dwelling,2,710090.44,4290,1601909,Construction,2016-04-15 13:50
21,QUEEN MARY ST ,K1K1Y1,Ward 13,318,77-78,EURO- PRO CONSTRUCTION,Single,Old Ottawa,Construct a 2 storey addition to a 2 storey detached dwelling (side yard),0,89964.36,538,1601910,Construction,2016-04-15 13:56
415,MACLAREN ST ,K2P2C8,Ward 14,15558,,A-CON CONSTRUCTION LIMITED,Apartment,Old Ottawa,Repair all balconies on a 21 storey apartment building,0,125000,20128.51,1601911,Construction,2016-04-15 14:02
252,ARGYLE AVE ,K2P1B9,Ward 14,30,15,GEMSTONE DEVELOPMENTS,Detached Garage/Shed,Old Ottawa,Remove and replace a 1 storey detached garage,0,20000,0,1601912,Construction,2016-04-15 14:19
117,ASHMORE DR ,K2G7B3,Ward 22,4M-1202,184 AND;185,POOLARAMA SWIMMING POOLS,Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,1601913,Pool Enclosure,2016-04-15 14:23
8256,VAN RENS ST ,K0A2P0,Ward 20,4M-,22,CONTRACTOR UNKNOWN,Single,Osgoode,Extend front porch on a 2 storey detached dwelling,0,15000,36,1601914,Construction,2016-04-15 14:30
3700,PRINCE OF WALES DR ,K2C3H2,Ward 22,,9 and 10,CONTRACTOR UNKNOWN,Industrial,Nepean,Interior alterations and addition of a lunchroom in a 1 storey warehouse building (Arbor Memorial),0,134398.4,720,1601915,Construction,2016-04-15 14:43
1154,BORDEAU GROVE ,K1C2M7,Ward 1,M-170,889,MERMAID POOLS (OGILVIE ROAD),Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,1601916,Pool Enclosure,2016-04-15 14:52
269,RIDGEPARK PRIV ,K2G1H1,Ward 8,750,,***CONTRACTOR***,Rowhouse,Nepean,Interior alterations to add a shower in the basement of a 2 storey rowhouse,0,8000,0,1601917,Construction,2016-04-15 14:54
2681,ALTA VISTA DR ,K1V7T5,Ward 18,31,20-21,OUTFRONT PORTABLE SOLUTIONS,Other,Old Ottawa,TEMPORARY PERMIT- Erect a temporary tent for a seasonal outdoor garden centre (Wilson's Your Independent Grocer),0,5000,799.75,1601918,Construction,2016-04-15 15:06
353,ABBEYDALE CIR ,K2K0E9,Ward 4,4M1379,41,"ROCQUE, CHARLES",Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,34048.59,916.27,1601919,Construction,2016-04-15 15:08
1581,BANK ST ,K1H7Z3,Ward 18,623,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 2 storey retail building (Unit A - Say Cheese Pizza & Poutinerie),0,30000,645.8,1601920,Construction,2016-04-15 15:09
746,MEADOWRIDGE CIR ,,Ward 5,4M-1498,24,CONTRACTOR UNKNOWN,Single,West Carleton,Construct a 1 storey detached dwelling,1,372250.3,3525,1601921,Construction,2016-04-15 15:09
2031,CABOT ST ,K1H6J7,Ward 18,129,24,***CONTRACTOR***,Single,Old Ottawa,Interior alterations in the basement and 1st floor of a 2 storey detached dwelling (bathroom),0,20000,84,1601922,Construction,2016-04-15 15:21
2117,WESTBOURNE AVE ,K2A1N3,Ward 7,344479,145,GVG RED INC.,Single,Old Ottawa,Interior alterations in the basement of a 1 storey detached dwelling (Bedrooms NOT permitted in basement),0,7000,1000,1601923,Construction,2016-04-15 15:26
59,RUSKIN ST ,K1Y4A8,Ward 15,174464,23,OAKWOOD RENOVATION EXPERTS,Single,Old Ottawa,Interior alterations to the kitchen of a 2 storey detached dwelling,0,35554.44,167.7,1601924,Construction,2016-04-15 15:28
670,CORONATION AVE ,K1G0M5,Ward 18,605,316,***CONTRACTOR***,Single,Old Ottawa,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1,20000,1118,1601925,Construction,2016-04-15 15:49
650,BIRCHLAND CRES ,K2S0S8,Ward 6,4M-1447,20,CONTRACTOR UNKNOWN,Detached Garage/Shed,Goulbourn,Construct a pavilion (rear yard),0,20000,319,1601926,Construction,2016-04-15 15:53
1181,HUNT CLUB RD ,K1V8S4,Ward 10,N419234,5,THOMAS CAVANAGH CONSTRUCTION LTD.,Office,Old Ottawa,SHELL ONLY- Construct a 2 storey medical building (Hunt Club Medical Centre - Building A),0,1859000,20000,1601927,Construction,2016-04-15 15:58
108,KINGHAVEN CRES ,K2M0C4,Ward 23,4M-1386,pt lot 6,POOLARAMA SWIMMING POOLS,Single,Kanata,Install an enclosure of an inground pool (rear yard),0,0,0,1601928,Pool Enclosure,2016-04-15 15:59
46,DUNOON PL ,K2L2V9,Ward 23,4M-309,172,POOLARAMA SWIMMING POOLS,Single,Kanata,Install an enclosure for an inground pool (rear yard),0,0,0,1601929,Pool Enclosure,2016-04-15 16:00
1193,HUNT CLUB RD ,K1V8S4,Ward 10,419234,5,THOMAS CAVANAGH CONSTRUCTION LTD.,Retail,Old Ottawa,"Tenant fit up and construction of a new mezzanine, in a 1 storey retail building (Long & McQuade Musical Instruments)",0,528415.2,12774,1601930,Construction,2016-04-15 16:02
195,GRAINSTONE WAY ,K2T0H2,Ward 4,4M1489,179,***CONTRACTOR***,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,33258.2,895,1601931,Construction,2016-04-15 16:04
120,IBER RD ,K2S1E9,Ward 6,4M-658,12,BVS HOLDINGS,Office,Goulbourn,"Interior alterations on the gound floor of a 2 storey office building (Separate Unit 207, Unit 208)",0,2000,194,1601932,Construction,2016-04-15 16:19
655,DONAT ST ,K1K3L8,Ward 13,587,48,MERMAID POOLS (OGILVIE ROAD),Single,Old Ottawa,Install an enclosure for an above ground pool (rear yard),0,0,0,1601933,Pool Enclosure,2016-04-18 8:36
316,GRACEWOOD CRES ,K1T0J7,Ward 22,4M-1507,86,TARTAN HOMES CORPORATION,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Amherst 2016 B,1,329237,2215,1601934,Construction,2016-04-18 8:43
46,SWEETBAY CIR ,,Ward 6,4M1532,19,MATTAMY DEVELOPMENT CORPORATION,Single,Goulbourn,Construct a 2 storey detached dwelling,1,317049.12,1896,1601935,Construction,2016-04-18 8:59
520,WILD SHORE CRES ,K1V1S9,Ward 22,4M-1099,,POOLARAMA SWIMMING POOLS,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0,0,0,1601936,Pool Enclosure,2016-04-18 10:05
341,HALIBURTON HTS ,K2V0G2,Ward 6,,384,RICHCRAFT HOMES LIMITED,Single,Goulbourn,Construct a 2 Storey Single with attached garage  Model: 35-23 Watson 2016 C,1,307684,1840,1601937,Construction,2016-04-18 10:31
59,MAJESTIC DR ,K2G1C9,Ward 9,378655,255,CONTRACTOR UNKNOWN,Single,Nepean,PLUMBING ONLY- Repairs to clean-out and drain,0,0,0,1601938,Construction,2016-04-18 10:39
476,GOLDEN AVE ,K2A2E5,Ward 15,283,186,VALA HOME IMPROVEMENTS,Single,Old Ottawa,Interior renovations in a 2 storey detached dwelling,0,30000,269,1601939,Construction,2016-04-18 10:40
112,HELENA ST ,K1Y3N1,Ward 15,4M-408,101,SIGNATURE BUILDERS INC,Single,Old Ottawa,Construct a 2 storey addition to a 2 storey detached dwelling (side yard),0,66597.04,398.26,1601940,Construction,2016-04-18 10:43
27,GROVEWOOD LANE ,K0A2Z0,Ward 21,4M-1183,180,KEMPTVILLE POOL & SPA,Single,Goulbourn,Install an enclosure for an inground pool (rear yard),0,0,0,1601941,Pool Enclosure,2016-04-18 11:18
511,LACOLLE WAY ,K4A5B6,Ward 1,50R-6232,31,CONTRACTOR UNKNOWN,Institutional,Cumberland,Construct a 2 storey daycare building,0,3135729.73,18751,1601943,Construction,2016-04-18 11:21
129,DAMSELFLY WAY ,K2J6H6,Ward 3,,20,MATTAMY DEVELOPMENT CORPORATION,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: Sycamore B,1,321954,2166,1601944,Construction,2016-04-18 11:26
130,TALOS CIR ,,Ward 21,4M-1516,38,TALOS CUSTOM HOMES LIMITED,Single,Goulbourn,Construct a 1 storey detached dwelling,1,289959.48,1734,1601945,Construction,2016-04-18 11:46
132,TALOS CIR ,,Ward 21,4M-1516,39,TALOS CUSTOM HOMES LTD.,Single,Goulbourn,Construct a 2 storey detached dwelling,1,421394.4,2520,1601946,Construction,2016-04-18 11:46
432,ODESSA WAY ,K2J5X7,Ward 3,4M-1513,70,TARTAN HOMES CORPORATION,Single,Nepean,Construct a 2 storey detached dwelling,1,465390.91,3366.4,1601947,Construction,2016-04-18 11:50
902,GUINNESS CRES ,K2J6G8,Ward 21,4M-1552,133,MINTO COMMUNITIES INC.,Single,Nepean,Construct a 2 Storey Single with attached garage  Model: 36-02 Balsam 2014 B,1,298915,2011,1601948,Construction,2016-04-18 12:15
1885,DAUPHIN RD ,K1G2L4,Ward 18,627,195,OTTAWA GENERAL CONTRACTORS,Single,Old Ottawa,Finish the basement in a 1 storey detached dwelling,0,37754.56,1016,1601949,Construction,2016-04-18 12:18
526,"GENEVRIERS, RUE DES  ",,Ward 19,,122,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: 36-03 Fitzroy 2014 C,1,338601,2278,1601950,Construction,2016-04-18 12:21
109,CLARENCE ST ,K1N5P5,Ward 12,122922,,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,Interior alterations in the basement and ground floor of 3 storey mixed use building (Tomo Restaurant ) -construct 2 new washrooms and upgrades related to increased occupant loads,0,7000,247,1601951,Construction,2016-04-18 12:33
25,LADYBIRDS CRES ,K2S1Z6,Ward 6,4M-1089,53,MERMAID POOLS (MERIVALE),Single,Goulbourn,Install an enclosure for an above ground pool (rear yard),0,0,0,1601952,Pool Enclosure,2016-04-18 12:41
248,RICHARDSON AVE ,K2B5G6,Ward 7,293,46,DOULOS CONSTRUCTION LTD.,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1,1500,-831,1601953,Demolition,2016-04-18 13:12
44,WINDING WAY ,K2G6Y4,Ward 22,4M-1153,24,JOURNEYMAN CARPENTRY,Single,Nepean,Construct a deck (rear yard),0,15000,258,1601954,Construction,2016-04-18 14:02
1302,TOMPKINS ST ,K2C3B7,Ward 8,533701,4,CONRAD CONSTRUCTION AND DESIGN INC,Single,Old Ottawa,Interior alterations on all floors of a 1 storey detached dwelling,0,30000,1111,1601955,Construction,2016-04-18 14:04
337,SUNNYSIDE AVE ,K1S0R9,Ward 17,115,4,BASSI CONSTRUCTION LTD,Apartment,Old Ottawa,Construct a 3 storey 12 unit apartment building,12,1069180,13416.5,1601956,Construction,2016-04-18 14:05
337,SUNNYSIDE AVE ,K1S0R9,Ward 17,115,4,BASSI CONSTRUCTION LTD,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,25000,-1500,1601957,Demolition,2016-04-18 14:06
661,GABRIOLA WAY ,K2T0M3,Ward 4,4M-1556,,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,Construct a 2 storey block of 4 rowhouse units,4,991057.2,8885,1601958,Construction,2016-04-18 14:20
663,GABRIOLA WAY ,K2T0M3,Ward 4,4M-1556,,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,Construct a 2 storey block of 4 rowhouse units,4,991057.2,8885,1601958,Construction,2016-04-18 14:20
665,GABRIOLA WAY ,K2T0M3,Ward 4,4M-1556,,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,Construct a 2 storey block of 4 rowhouse units,4,991057.2,8885,1601958,Construction,2016-04-18 14:20
667,GABRIOLA WAY ,K2T0M3,Ward 4,4M-1556,,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,Construct a 2 storey block of 4 rowhouse units,4,991057.2,8885,1601958,Construction,2016-04-18 14:20
649,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,991057.2,8885,1601959,Construction,2016-04-18 14:20
651,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,991057.2,8885,1601959,Construction,2016-04-18 14:20
653,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,991057.2,8885,1601959,Construction,2016-04-18 14:20
655,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,991057.2,8885,1601959,Construction,2016-04-18 14:20
639,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 5, 2 storey rowhouses",5,1233340.4,11075,1601960,Construction,2016-04-18 14:21
641,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 5, 2 storey rowhouses",5,1233340.4,11075,1601960,Construction,2016-04-18 14:21
643,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 5, 2 storey rowhouses",5,1233340.4,11075,1601960,Construction,2016-04-18 14:21
645,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 5, 2 storey rowhouses",5,1233340.4,11075,1601960,Construction,2016-04-18 14:21
647,GABRIOLA WAY ,K2T0M1,Ward 4,,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 5, 2 storey rowhouses",5,1233340.4,11075,1601960,Construction,2016-04-18 14:21
72,ARKOSE ST ,K2T0M1,Ward 4,4M-,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,977029.3,8760,1601961,Construction,2016-04-18 14:24
74,ARKOSE ST ,K2T0M1,Ward 4,4M-,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,977029.3,8760,1601961,Construction,2016-04-18 14:24
76,ARKOSE ST ,K2T0M1,Ward 4,4M-,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,977029.3,8760,1601961,Construction,2016-04-18 14:24
78,ARKOSE ST ,K2T0M1,Ward 4,4M-,6,CARDEL HOMES INC. OTTAWA DIVISION,Rowhouse,Kanata,"Construct a block of 4, 2 storey rowhouses",4,977029.3,8760,1601961,Construction,2016-04-18 14:24
117,WESTHUNT RD ,,Ward 5,4M-,,CONTRACTOR UNKNOWN,Industrial,West Carleton,Construct a 2 storey industrial building (Tomlinson Recycling Plant),0,319792.09,5737.21,1601962,Construction,2016-04-18 14:26
2149,RICHARDSON SIDE RD ,K0A1L0,Ward 5,4M-,,CONTRACTOR UNKNOWN,Industrial,West Carleton,Construct a 2 storey industrial building (Tomlinson Recycling Plant),0,319792.09,5737.21,1601962,Construction,2016-04-18 14:26
