Application Number,Application Date,Application Type,Address,Object Status Type,Application Status,File Lead,Brief Description,Object Status Date,Ward #,Ward,
D02-02-14-0055,2014-05-16,Zoning By-law Amendment,267 O'CONNOR Street,Application File Pending,Inactive,Douglas James,Two-highrise buildings (27storeys) in keeping with the Landmark Building policy as set out in the Centretown Secondary Plan. The two towers are proposed to be predominantly residential with ground floor retail fronting O'Connor St. A Park is proposed as part of this proposal and is proposed to be located at the corner of O'Connor St. and Gilmour.,2014-08-06 16:10,Ward 14,SOMERSET,
D02-02-14-0055,2014-05-16,Zoning By-law Amendment,267 O'CONNOR Street,Application File Pending,Inactive,Douglas James,Two-highrise buildings (27storeys) in keeping with the Landmark Building policy as set out in the Centretown Secondary Plan. The two towers are proposed to be predominantly residential with ground floor retail fronting O'Connor St. A Park is proposed as part of this proposal and is proposed to be located at the corner of O'Connor St. and Gilmour.,2014-08-06 16:10,Ward 14,SOMERSET,
D02-02-14-0107,2014-08-22,Zoning By-law Amendment,151 CHAPEL Street,By-law Passed - Appeal Period Pending,Post Approval,Erin O'Connell,"It is proposed to develop the property as a mixed use project consisting of two towers of 32 and 27 storeys.  This proposal will have a five story podium and three levels of underground parking.  The first two floors of the podium would consist of retail uses, with the remaining three as structured parking, while the towers would consist of residential units.",2016-02-10 15:41,Ward 12,RIDEAU-VANIER,
D02-02-14-0107,2014-08-22,Zoning By-law Amendment,153 CHAPEL Street,By-law Passed - Appeal Period Pending,Post Approval,Erin O'Connell,"It is proposed to develop the property as a mixed use project consisting of two towers of 32 and 27 storeys.  This proposal will have a five story podium and three levels of underground parking.  The first two floors of the podium would consist of retail uses, with the remaining three as structured parking, while the towers would consist of residential units.",2016-02-10 15:41,Ward 12,RIDEAU-VANIER,
D07-16-14-0020,2014-09-03,Plan of Subdivision,3119 CARP Road,Application File Pending,File Pending,Cheryl Mcwilliams,Commercial/industrial subdivision on two common element condominium streets.,2021-02-12 15:25,Ward 5,WEST CARLETON-MARCH,
D07-04-14-0021,2014-09-03,Plan of Condominium,3119 CARP Road,Application File Pending,File Pending,Cheryl Mcwilliams,Commercial /Industrial subdivision on two common element condominium streets,2020-07-08 15:31,Ward 5,WEST CARLETON-MARCH,
D07-12-14-0180,2014-11-21,Site Plan Control,1255 JOHNSTON Road,Application File Pending,File Pending,Kelby Lodoen Unseth,addition to dealership,2015-02-20 08:44,Ward 10,GLOUCESTER-SOUTHGATE,
D02-02-13-0003,2013-01-07,Zoning By-law Amendment,0  ,Amendment Initiated,Active,Selma Hassan,"City Initiated - This appeals report is meant to correct errors in Zoning By-law 2012-147 and to clarify wording in the By-law in order to facilitate interpretation and implementation.  While By-law 2012-147 is still before the OMB and while the proposed amendments will not remove or reduce the appeals to the OMB, PGM would like to make the proposed amendments in order to correct the text and allow for the intended implementation of the By-law.",2013-01-07 15:54,Multiple Wards,,
D02-02-13-0026,2013-03-18,Zoning By-law Amendment,1913 MARCHURST Road,Application Approved by OMB,Inactive,Jeffrey C Ostafichuk,A 53 Lot single detached residential subdivision with private well and septic,2014-07-03 10:56,Ward 5,WEST CARLETON-MARCH,
D01-01-13-0005,2013-03-21,Official Plan Amendment,0  ,Appealed to OMB,Post Approval,Bruce Finlay,City Initiated - Comprehensive Official Plan Review 2013,2014-05-20 15:16,City Wide,,
D07-12-13-0097,2013-05-13,Site Plan Control,140 HEARST Way,Agreement Registered - Final Legal Clearance Given,Post Approval,Tracey Scaramozzino,New 1 storey Building (Retail and supporting warehouse) - Single Tenant (Franklin Empire),2013-10-25 08:35,Ward 23,KANATA SOUTH,
D07-04-13-0014,2013-04-19,Plan of Condominium,1500 THOMAS ARGUE Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,"Application is for an extension to an existing Draft Plan of Condominium (City File D07-04-05-0026) for a residential fly-in community on the existing Carp Airport - common elements shall include park blocks, communal hanger blocks, roads, taxiways, communal servicing blocks and landscaping",2013-04-19 14:14,Ward 5,WEST CARLETON-MARCH,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,9 BULLMAN Street,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,11 BULLMAN Street,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,13 BULLMAN Street,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,15 BULLMAN Street,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,250 PARKDALE Avenue,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,266 PARKDALE Avenue,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,268 PARKDALE Avenue,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,272 PARKDALE Avenue,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,274 PARKDALE Avenue,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D02-02-13-0042,2013-04-18,Zoning By-law Amendment,1518 SCOTT Street,Application Recommended to Council for Approval,Post Approval,Allison Hamlin,Two (2) mixed-use buildings (24 and 25 storeys) with mix of commercial/office and residential units proposed.,2015-04-14 08:05,Ward 15,KITCHISSIPPI,
D07-12-13-0124,2013-06-20,Site Plan Control,1040 SOMERSET Street,Receipt of Agreement from Owner Pending,Active,Jean-Charles Renaud,"A Site Plan Control application has been submitted for the development of a 30-storey (100 metres) mixed-use building. The tower is set upon a 4-storey, 12 metre podium along both Somerset Street and Breezehill Avenue. On the third and fourth storeys of the building are townhouse-style units centred on a landscaped podium court. Vehicular access is located off of Breezehill Avenue. A total of 162 vehicular parking, including 10 visitor parking spaces will be provided in a 7 level underground parking structure. A total of 162 bicycle parking spaces are provided.",2023-07-10 13:16,Ward 15,KITCHISSIPPI,
D02-02-13-0061,2013-06-28,Zoning By-law Amendment,236 RICHMOND Road,OMB Appeal Withdrawn - Application Approved,Inactive,Douglas James,"The purpose of the Zoning By-law Amendment is to amend the existing Traditional Mainstreet Zone - TM[83]H(15)  to Traditional Mainstreet Zone - TM[XXXX]H(32.5). The Exception would include the following:

1.	To permit a maximum height of 32.5 metres (9 storeys)
2.	To permit a corner side yard setback of 0 metres on Tweedsmuir Avenue
3.	To permit a rear yard setback of 0.2 metres for the parking garage and a setback of 5.2 metres for the principle building
4.	To eliminate the 45 degree angular plane restriction
5.	To permit a reduced driveway aisle width of 5.8 metres
6.	To permit 6 small car parking spaces

The proposed development is a 9 storey, 32 metre, mixed-use building with 70 residential units and 4 commercial units on the ground floor facing Richmond Road. The proposed Gross Floor Area (GFA) is 6,319 square metres with 86% of the GFA devoted to residential and the remainder to commercial. A total of 60 parking spaces will be provided by a 3 level underground parking lo",2014-05-01 09:36,Ward 15,KITCHISSIPPI,
D02-02-13-0057,2013-06-14,Zoning By-law Amendment,6279 FERNBANK Road,Application Approved by OMB,Inactive,Mike Schmidt,To rezone the property to R3 Zone with exceptions to develop a subdivision containing 59 singles and 81 townhouses.,2016-12-19 11:20,Ward 6,STITTSVILLE,
D02-02-13-0066,2013-07-09,Zoning By-law Amendment,0  ,OMB Appeal Withdrawn - Application Approved,Inactive,Carol Ruddy,"City initiated  The proposed Zoning By-law Amendment will serve to implement Health Canada's new regulations regarding medical marihuana production facilities. The amendment will clarify existing, or implement new, zoning provisions within Zoning By-law 2008-250.",2014-08-13 14:36,City Wide,,
D02-02-13-0092,2013-09-24,Zoning By-law Amendment,3100 LEITRIM Road,By-law Passed - In Appeal Period,Post Approval,Wendy Tse,The City of Ottawa has received a Zoning By-law Amendment application in order to permit the development of the proposed lands for residential purposes and supporting land uses.,2017-06-20 08:56,Ward 22,RIVERSIDE SOUTH-FINDLAY CREEK,
D02-02-13-0116,2013-11-07,Zoning By-law Amendment,1445 WELLINGTON Street,Application Approved by OMB - Agreement Pending,Post Approval,Don Herweyer,"To develop a 12-storey mixed use building, with ground floor commercial and residential on upper floors.",2015-12-18 15:30,Ward 15,KITCHISSIPPI,
D02-02-13-0116,2013-11-07,Zoning By-law Amendment,1451 WELLINGTON Street,Application Approved by OMB - Agreement Pending,Post Approval,Don Herweyer,"To develop a 12-storey mixed use building, with ground floor commercial and residential on upper floors.",2015-12-18 15:30,Ward 15,KITCHISSIPPI,
D01-01-13-0019,2013-11-07,Official Plan Amendment,1445 WELLINGTON Street,Application Approved by OMB - Agreement Pending,Post Approval,Don Herweyer,"To develop a 12-storey mixed use building, with ground floor commercial and residential on upper floors.",2015-12-18 15:26,Ward 15,KITCHISSIPPI,
D01-01-13-0019,2013-11-07,Official Plan Amendment,1451 WELLINGTON Street,Application Approved by OMB - Agreement Pending,Post Approval,Don Herweyer,"To develop a 12-storey mixed use building, with ground floor commercial and residential on upper floors.",2015-12-18 15:26,Ward 15,KITCHISSIPPI,
D07-12-13-0225,2013-11-25,Site Plan Control,93 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0225,2013-11-25,Site Plan Control,95 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0225,2013-11-25,Site Plan Control,97 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0225,2013-11-25,Site Plan Control,99 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0225,2013-11-25,Site Plan Control,103 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0225,2013-11-25,Site Plan Control,105 NORMAN Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"lots 1503,1504,1505,1506 and 1507 reg plan 38//RESIDENTIAL DEVELOPMENT APARTMENT DWELLING AND TOWNHOUSE",2022-04-14 14:53,Ward 14,SOMERSET,
D07-12-13-0247,2013-12-23,Site Plan Control,401 MARCH Road,Agreement Registered - Final Legal Clearance Given,Post Approval,Birgit Isernhagen,"The application is proposing a one storey commercial plaza containing a gas bar and car wash, two restaurants with a drive through facility and a commercial building that would hold a medical facility.",2016-10-13 14:56,Ward 4,KANATA NORTH,
D07-12-13-0249,2013-12-23,Site Plan Control,1015 DAIRY Drive,Application File Pending,File Pending,Cheryl Mcwilliams,"New 114,431 SF fire/water restoration facility and mini storage facility.",2014-02-27 14:18,Ward 1,ORLÉANS EAST-CUMBERLAND,
D07-12-18-0065,2018-05-01,Site Plan Control,"375 DESCHATELETS, AV ",Application File Pending,File Pending,Jean-Charles Renaud,"The City of Ottawa has received a Site Plan application to construct a 3.5-storey, 18-unit stacked townhouse dwelling with associated underground parking.",2019-01-10 13:57,Ward 17,CAPITAL,
D07-16-18-0010,2018-05-04,Plan of Subdivision,1981 MAPLE GROVE Road,Draft Approved,File Pending,Wendy Tse,"The City of Ottawa has received a concurrent Plan of Subdivision and Zoning By-law Amendment application to permit the development of a 196-unit subdivision comprised of 57 single-detached dwellings, 101 townhomes and 38 back-to-back townhomes.",2023-04-05 13:45,Ward 6,STITTSVILLE,
D02-02-18-0046,2018-05-04,Zoning By-law Amendment,1981 MAPLE GROVE Road,Application Approved by OMB,Inactive,Stream Shen,"The City of Ottawa has received a concurrent Plan of Subdivision and Zoning By-law Amendment application to permit the development of a 196-unit subdivision comprised of 57 single-detached dwellings, 101 townhomes and 38 back-to-back townhomes.",2023-04-18 13:43,Ward 6,STITTSVILLE,
D07-12-18-0080,2018-05-16,Site Plan Control,114 RICHMOND Road,Resubmission Review Completed,Active,Colette Gorni,To convert the existing Sisters of the Visitation monastery into a mixed-use building and construct an addition to be used as an apartment building,2022-12-16 11:47,Ward 15,KITCHISSIPPI,
D07-04-18-0005,2018-04-06,Plan of Condominium,3930 RIVERSIDE Drive,Application File Pending,File Pending,Kelby Lodoen Unseth,"The proposed development of the subject lands is proposed as a Plan of Condominium. The purpose of the Plan of Condominium application is to establish development parcels along a private internal street that can be developed individually. In essence, the application will act as a plan of subdivision for the lands, where the streets and common areas will be maintained and owned jointly by all members of the condominium corporation.
The draft Plan of Condominium proposes the creation of three units (development parcels) as well as a common element block which includes the private street and other common lands abutting Riverside Drive. Remnant lands at the north edge of the block will not form part of the Condominium and will have an easement for access across the condominium lands.",2018-06-08 17:18,Ward 16,RIVER,
D07-04-18-0005,2018-04-06,Plan of Condominium,3930 RIVERSIDE Drive,Application File Pending,File Pending,Kelby Lodoen Unseth,"The proposed development of the subject lands is proposed as a Plan of Condominium. The purpose of the Plan of Condominium application is to establish development parcels along a private internal street that can be developed individually. In essence, the application will act as a plan of subdivision for the lands, where the streets and common areas will be maintained and owned jointly by all members of the condominium corporation.
The draft Plan of Condominium proposes the creation of three units (development parcels) as well as a common element block which includes the private street and other common lands abutting Riverside Drive. Remnant lands at the north edge of the block will not form part of the Condominium and will have an easement for access across the condominium lands.",2018-06-08 17:18,Ward 16,RIVER,
D07-04-18-0005,2018-04-06,Plan of Condominium,3960 RIVERSIDE Drive,Application File Pending,File Pending,Kelby Lodoen Unseth,"The proposed development of the subject lands is proposed as a Plan of Condominium. The purpose of the Plan of Condominium application is to establish development parcels along a private internal street that can be developed individually. In essence, the application will act as a plan of subdivision for the lands, where the streets and common areas will be maintained and owned jointly by all members of the condominium corporation.
The draft Plan of Condominium proposes the creation of three units (development parcels) as well as a common element block which includes the private street and other common lands abutting Riverside Drive. Remnant lands at the north edge of the block will not form part of the Condominium and will have an easement for access across the condominium lands.",2018-06-08 17:18,Ward 16,RIVER,
D07-04-18-0005,2018-04-06,Plan of Condominium,3960 RIVERSIDE Drive,Application File Pending,File Pending,Kelby Lodoen Unseth,"The proposed development of the subject lands is proposed as a Plan of Condominium. The purpose of the Plan of Condominium application is to establish development parcels along a private internal street that can be developed individually. In essence, the application will act as a plan of subdivision for the lands, where the streets and common areas will be maintained and owned jointly by all members of the condominium corporation.
The draft Plan of Condominium proposes the creation of three units (development parcels) as well as a common element block which includes the private street and other common lands abutting Riverside Drive. Remnant lands at the north edge of the block will not form part of the Condominium and will have an easement for access across the condominium lands.",2018-06-08 17:18,Ward 16,RIVER,
D07-12-18-0052,2018-04-10,Site Plan Control,994 BRONSON Avenue,Request for Agreement Received,Post Approval,John Bernier,12 unit low rise apartment building with roof top amenity area.,2021-10-18 14:52,Ward 17,CAPITAL,
D01-01-18-0004,2018-04-12,Official Plan Amendment,0  ,Comment Period in Progress,Active,Emily Davies,"City Initiated - Creation of a new Secondary Plan for the Riverside South area to accompany the existing Community Design Plan to guide growth to the area.

Création d'un nouveau plan secondaire pour le secteur Riverside-Sud, qui accompagnera le plan de conception communautaire existant afin d'orienter la croissance dans le secteur.",2019-04-01 08:51,Multiple Wards,,
D02-02-18-0035,2018-04-12,Zoning By-law Amendment,0  ,Comment Period in Progress,Active,Emily Davies,"City Initiated - Zoning Bylaw Amendment to accompany the Riverside South Secondary Plan Creation and update to the existing CDP. The ZBLA will implment aspects of the policy direction.

Modification au Règlement de zonage qui va de pair avec la création d'un plan secondaire pour le secteur Riverside-Sud et la mise à jour du plan de conception communautaire. La modification proposée mettra en uvre certains aspects de l'orientation politique",2019-04-01 09:14,Multiple Wards,,
D02-02-18-0038,2018-04-17,Zoning By-law Amendment,137 GEORGE Street,Application File Pending,File Pending,Erin O'Connell,110 york Street is a two storey brick structure with a nightclub at each level. 137 George is in use as a surface parking but was the subject of a site plan and zoning application,2018-06-14 08:35,Ward 12,RIDEAU-VANIER,
D02-02-18-0038,2018-04-17,Zoning By-law Amendment,110 YORK Street,Application File Pending,File Pending,Erin O'Connell,110 york Street is a two storey brick structure with a nightclub at each level. 137 George is in use as a surface parking but was the subject of a site plan and zoning application,2018-06-14 08:35,Ward 12,RIDEAU-VANIER,
D07-16-18-0006,2018-04-17,Plan of Subdivision,4200 INNES Road,No Appeal,Post Approval,Stephen Belan,The proposed development would establish a 7-block Plan of Subdivision comprised of 6 development parcels on a 24 metre wide public street network,2022-07-27 12:00,Ward 19,ORLÉANS SOUTH-NAVAN,
D07-16-18-0008,2018-04-20,Plan of Subdivision,1158 OLD SECOND LINE Road,Application Approved,Post Approval,Laurel Mccreight,Proposed development of 49 two-storey townhouses on private streets,2019-11-04 12:25,Ward 4,KANATA NORTH,
D07-12-18-0097,2018-06-15,Site Plan Control,5471 BOUNDARY Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5575 BOUNDARY Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5613 BOUNDARY Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5508 FRONTIER Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5554 FRONTIER Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5570 FRONTIER Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5610 FRONTIER Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D07-12-18-0097,2018-06-15,Site Plan Control,5800 FRONTIER Road,Application File Pending,File Pending,Jeffrey C Ostafichuk,The Capital Region Resource Recovery Centre is a new integrated waste management facility proposed by Taggart Miller Environmental Services.,2019-06-26 10:31,Ward 20,OSGOODE,
D02-02-18-0062,2018-06-15,Zoning By-law Amendment,100 NEW ORCHARD Avenue,Application File Pending,File Pending,Lisa Stern,amend o zoning R5C,2018-09-17 14:05,Ward 7,BAY,
D07-16-18-0022,2018-07-23,Plan of Subdivision,23 DEERFOX Drive,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"devt of 41 single detached dwellings on extension of public rd, Ryland Cr.",2020-07-07 11:53,Ward 24,BARRHAVEN EAST,
D07-16-18-0022,2018-07-23,Plan of Subdivision,33 DEERFOX Drive,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"devt of 41 single detached dwellings on extension of public rd, Ryland Cr.",2020-07-07 11:53,Ward 24,BARRHAVEN EAST,
D07-16-18-0022,2018-07-23,Plan of Subdivision,39 DEERFOX Drive,Agreement Registered - Securities Held,Post Approval,Tracey Scaramozzino,"devt of 41 single detached dwellings on extension of public rd, Ryland Cr.",2020-07-07 11:53,Ward 24,BARRHAVEN EAST,
D02-02-18-0071,2018-07-27,Zoning By-law Amendment,116 YORK Street,Application Refused by OMB,Inactive,Kimberley Baldwin,"Zoning By-law Amendment application to permit development of a 17-storey hotel. The application seeks to amend the maximum building height, heritage overlay and loading space provisions for this site.",2021-08-20 13:03,Ward 12,RIDEAU-VANIER,
D07-12-18-0115,2018-07-31,Site Plan Control,6688 FRANKTOWN Road,Application File Pending,File Pending,Adam Brown,"The City of Ottawa has received a Site Plan application to facilitate the development of a one-storey, 2,655 square metre place of worship and an associated two-storey, 635 square metre rooming house.",2018-09-28 14:43,Ward 21,RIDEAU-JOCK,
D07-16-18-0024,2018-08-31,Plan of Subdivision,3244 SHEA Road,Application File Pending,File Pending,Cheryl Mcwilliams,"The City of Ottawa has received a Plan of Subdivision application to permit the development of eight new residential lots intended for detached dwellings on a portion of the subject property. It is proposed to extend Hemphill Street, which will terminate in a cul-de-sac.",2018-10-26 15:04,Ward 21,RIDEAU-JOCK,
D07-16-18-0023,2018-08-07,Plan of Subdivision,1053 MARCH Road,No Appeal,Post Approval,Lisa Stern,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-01-21 15:02,Ward 4,KANATA NORTH,
D07-16-18-0023,2018-08-07,Plan of Subdivision,1075 MARCH Road,No Appeal,Post Approval,Lisa Stern,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-01-21 15:02,Ward 4,KANATA NORTH,
D07-16-18-0023,2018-08-07,Plan of Subdivision,1145 MARCH Road,No Appeal,Post Approval,Lisa Stern,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-01-21 15:02,Ward 4,KANATA NORTH,
D02-02-18-0076,2018-08-07,Zoning By-law Amendment,1053 MARCH Road,Application Approved by Council,Post Approval,Stream Shen,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-11-28 10:31,Ward 4,KANATA NORTH,
D02-02-18-0076,2018-08-07,Zoning By-law Amendment,1075 MARCH Road,Application Approved by Council,Post Approval,Stream Shen,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-11-28 10:31,Ward 4,KANATA NORTH,
D02-02-18-0076,2018-08-07,Zoning By-law Amendment,1145 MARCH Road,Application Approved by Council,Post Approval,Stream Shen,"The City of Ottawa has received applications for a Plan of Subdivision and Zoning By-law Amendment to permit the development of 825 residential units, institutional facilities, a stormwater management pond, a park and open space.",2022-11-28 10:31,Ward 4,KANATA NORTH,
D02-02-18-0094,2018-10-16,Zoning By-law Amendment,1950 SCOTT Street,By-law Passed - In Appeal Period,Post Approval,Andrew Mccreight,"The City of Ottawa has received an Zoning By-law Amendment application to permit a 20-storey residential building, with approximately 140 dwelling units and underground parking.",2019-10-23 11:31,Ward 15,KITCHISSIPPI,
D07-12-18-0155,2018-10-17,Site Plan Control,127 CARDEVCO Road,Application File Pending,File Pending,Sarah Mccormick,"The City of Ottawa has received a Site Plan application to accommodate the development of a 2-storey, approximately 670m2 warehouse with an existing accessory outdoor storage yard. The proposal includes 14 outdoor parking spaces and is serviced by private well and septic system.",2021-12-08 11:45,Ward 5,WEST CARLETON-MARCH,
D07-05-18-0005,2018-10-29,Demolition Control,179 ARMSTRONG Street,Agreement Registered - Final Legal Clearance Given,Post Approval,Simon Deiaco,"Demolition Control application to demolish a vacant three-storey house, and vacant one storey commercial building.",2019-05-29 11:44,Ward 15,KITCHISSIPPI,
D02-02-18-0099,2018-11-02,Zoning By-law Amendment,951 GLADSTONE Avenue,Zoning By-law in Effect,Inactive,Lorraine Stevens,"The City of Ottawa has received an Official Plan Amendment and Zoning By-law Amendment application to permit a mixed-use development with office, retail and residential uses in three high-rise towers at 30, 35 and 41 storeys in height.",2022-12-12 08:28,Ward 15,KITCHISSIPPI,
D02-02-18-0099,2018-11-02,Zoning By-law Amendment,145 LORETTA Avenue,Zoning By-law in Effect,Inactive,Lorraine Stevens,"The City of Ottawa has received an Official Plan Amendment and Zoning By-law Amendment application to permit a mixed-use development with office, retail and residential uses in three high-rise towers at 30, 35 and 41 storeys in height.",2022-12-12 08:28,Ward 15,KITCHISSIPPI,
D07-12-18-0141,2018-09-20,Site Plan Control,2596 CARP Road,CWN approved,Inactive,Sarah Mccormick,The City of Ottawa has received a Site Plan Control application to accommodate the development of a concrete batching plant on the subject property.,2022-12-01 13:24,Ward 5,WEST CARLETON-MARCH,
D02-02-18-0100,2018-11-06,Zoning By-law Amendment,1919 MAPLE GROVE Road,Application Reactivated,Active,Sarah Ezzio,"The City of Ottawa has received a concurrent Plan of Subdivision and Zoning By-law Amendment application to permit the development of a residential subdivision comprised of 36 semi-detached dwellings, 36 back-to-back townhouses, a park block, and two blocks reserved for low-rise apartment buildings estimated at 460 units. In addition to the current applications, a separate site plan control application will be required before the apartment buildings can be constructed.",2021-04-19 11:12,Ward 6,STITTSVILLE,
D07-12-18-0168,2018-11-07,Site Plan Control,9 COLONNADE Road,Application File Pending,File Pending,Stream Shen,A new +/- 1570 sq metre automobile body shop,2019-02-15 08:47,Ward 9,KNOXDALE-MERIVALE,
D07-12-18-0168,2018-11-07,Site Plan Control,17 COLONNADE Road,Application File Pending,File Pending,Stream Shen,A new +/- 1570 sq metre automobile body shop,2019-02-15 08:47,Ward 9,KNOXDALE-MERIVALE,
D07-12-18-0185,2018-12-11,Site Plan Control,16 HAMILTON Avenue,Agreement Registered - Securities Held,Post Approval,Steve Gauthier,New 8 storey mixed use condo/commercial building,2022-01-04 13:45,Ward 15,KITCHISSIPPI,
